driver_id,total_fare,avg_distance
7,81.39,41.48
87,103.9,15.21
64,148.68,43.08
34,133.35,29.53
85,114.59,22.92
98,203.76,32.53333333333334
96,90.44,28.78
61,277.22,15.155000000000001
75,146.24,4.14
26,58.77,25.12
77,147.69,45.67
93,83.33,46.84
95,106.62,23.49
38,96.3,47.67
92,74.97,30.52
58,55.08,31.16
33,106.71,13.07
97,29.17,45.99
84,404.01,21.07
79,82.82,8.18
24,54.34,44.19
56,188.72,26.22
4,85.16,37.51
39,113.67,17.98
62,80.38,35.08
13,14.44,25.03
66,70.4,20.73
91,130.16,32.5
72,8.34,36.42
45,129.44,29.47
